選手名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,四球,死球,三振,併殺打,打率,出塁率,長打率,犠打,犠飛,所属球団,年度,年齢
長岡　秀樹,67,261,247,20,60,14,2,0,78,13,1,0,8,1,21,6,0.243,0.267,0.316,3,2,東京ヤクルト,2025,25
茂木　栄五郎,53,172,150,12,36,2,0,5,53,16,0,3,19,2,48,2,0.24,0.333,0.353,1,0,東京ヤクルト,2025,32
宮本　丈,80,106,89,4,23,4,0,0,27,9,1,0,14,1,20,2,0.258,0.365,0.303,2,0,東京ヤクルト,2025,31
オスナ,141,574,528,38,135,22,0,14,199,67,4,1,40,1,76,13,0.256,0.307,0.377,0,5,東京ヤクルト,2025,31
西村　瑠伊斗,4,11,11,2,1,0,0,0,1,1,0,0,0,0,4,1,0.091,0.091,0.091,0,0,東京ヤクルト,2025,22
山野辺　翔,5,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,埼玉西武,2025,32
山野辺　翔,17,24,19,2,4,1,0,0,5,2,2,0,2,1,2,0,0.211,0.318,0.263,2,0,東京ヤクルト,2025,32
北村　拓己,62,132,116,9,22,3,0,3,34,7,0,1,6,4,29,1,0.19,0.254,0.293,6,0,東京ヤクルト,2025,31
北村　恵吾,46,141,120,15,32,10,0,5,57,19,0,1,15,4,20,3,0.267,0.364,0.475,1,1,東京ヤクルト,2025,25
田中　陽翔,6,13,13,3,4,2,0,0,6,2,0,0,0,0,3,0,0.308,0.308,0.462,0,0,東京ヤクルト,2025,20
村上　宗隆,56,224,187,34,51,7,0,22,124,47,4,2,32,2,64,1,0.273,0.379,0.663,0,3,東京ヤクルト,2025,26
武岡　龍世,47,119,104,6,19,5,0,1,27,5,1,0,7,0,23,0,0.183,0.232,0.26,7,1,東京ヤクルト,2025,25
伊藤　琉偉,87,204,184,17,38,6,2,3,57,17,3,1,12,0,56,1,0.207,0.254,0.31,7,1,東京ヤクルト,2025,24
並木　秀尊,54,128,114,26,29,6,1,3,46,10,6,2,6,2,15,0,0.254,0.303,0.404,6,0,東京ヤクルト,2025,27
西川　遥輝,49,134,115,10,20,3,1,0,25,6,1,0,16,1,32,1,0.174,0.28,0.217,2,0,東京ヤクルト,2025,34
丸山　和郁,39,36,32,6,4,0,0,0,4,2,3,1,2,0,12,0,0.125,0.176,0.125,2,0,東京ヤクルト,2025,27
塩見　泰隆,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,東京ヤクルト,2025,33
サンタナ,60,240,212,25,58,11,0,3,78,15,1,1,25,3,65,4,0.274,0.358,0.368,0,0,東京ヤクルト,2025,34
澤井　廉,27,77,75,3,14,4,0,1,21,3,0,0,1,1,27,1,0.187,0.208,0.28,0,0,東京ヤクルト,2025,26
太田　賢吾,44,131,118,11,27,6,0,0,33,6,0,0,6,4,28,0,0.229,0.285,0.28,1,2,東京ヤクルト,2025,29
濱田　太貴,34,104,95,13,21,6,0,4,39,9,0,0,5,4,26,1,0.221,0.288,0.411,0,0,東京ヤクルト,2025,26
増田　珠,75,132,116,9,27,4,2,1,38,11,1,0,10,4,19,2,0.233,0.315,0.328,2,0,東京ヤクルト,2025,27
岩田　幸宏,126,401,357,43,95,8,5,0,113,13,14,6,24,6,46,2,0.266,0.322,0.317,13,1,東京ヤクルト,2025,29
若月　健矢,121,400,368,30,100,16,2,6,138,31,2,0,16,7,61,7,0.272,0.314,0.375,8,1,オリックス,2025,31
森　友哉,50,191,161,16,33,8,0,1,44,14,0,0,26,3,31,0,0.205,0.325,0.273,0,1,オリックス,2025,31
福永　奨,39,74,66,5,10,2,1,1,17,6,0,0,4,2,23,1,0.152,0.219,0.258,1,1,オリックス,2025,27
石川　亮,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,オリックス,2025,31
頓宮　裕真,129,525,473,41,118,20,0,13,177,54,1,0,43,5,81,10,0.249,0.316,0.374,0,4,オリックス,2025,30
山中　稜真,19,52,49,2,6,1,1,1,12,3,0,0,3,0,9,2,0.122,0.173,0.245,0,0,オリックス,2025,25
堀　柊那,3,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0.333,0.333,0.333,0,0,オリックス,2025,21
西野　真弘,75,252,230,27,66,9,3,7,102,35,0,0,15,1,17,4,0.287,0.333,0.443,6,0,オリックス,2025,36
宗　佑磨,98,388,349,33,82,12,1,6,114,28,3,4,26,9,48,4,0.235,0.304,0.327,3,1,オリックス,2025,30
野口　智哉,33,64,55,10,8,5,1,1,18,3,0,1,6,3,16,0,0.145,0.266,0.327,0,0,オリックス,2025,27
大城　滉二,66,79,68,12,17,0,0,0,17,6,2,0,6,1,20,0,0.25,0.32,0.25,4,0,オリックス,2025,33
紅林　弘太郎,116,447,400,36,104,20,1,9,153,43,1,2,35,3,57,15,0.26,0.321,0.383,4,5,オリックス,2025,24
