順位,選手名,年齢,ポジション,チーム,年俸,年俸_円
303,Ｏ．カリステ,31,内野手,中日,3000万円,30000000
304,中島　卓也,32,内野手,日本ハム,3000万円,30000000
305,谷内　亮太,32,内野手,日本ハム,3000万円,30000000
306,Ｚ．アルモンテ,33,外野手,中日,3000万円,30000000
307,島田　海吏,27,外野手,阪神,3000万円,30000000
308,本田　圭佑,29,投手,西武,3000万円,30000000
309,岡田　雅利,33,捕手,西武,3000万円,30000000
310,髙橋　優貴,26,投手,巨人,3000万円,30000000
311,黒木　優太,28,投手,オリックス,3000万円,30000000
312,田中　広輔,33,内野手,広島,3000万円,30000000
313,馬場　皐輔,27,投手,阪神,2950万円,29500000
314,清水　優心,26,捕手,日本ハム,2900万円,29000000
315,堂上　直倫,34,内野手,中日,2900万円,29000000
316,鍬原　拓也,27,投手,巨人,2900万円,29000000
317,平内　龍太,24,投手,巨人,2900万円,29000000
318,柳町　達,25,外野手,ソフトバンク,2900万円,29000000
319,上本　崇司,32,内野手,広島,2900万円,29000000
320,坂本　誠志郎,29,捕手,阪神,2800万円,28000000
321,山本　泰寛,29,内野手,阪神,2800万円,28000000
322,山口　航輝,22,外野手,ロッテ,2800万円,28000000
323,岩嵜　翔,33,投手,中日,2800万円,28000000
324,淺間　大基,26,外野手,日本ハム,2800万円,28000000
325,呉　念庭,29,内野手,西武,2800万円,28000000
326,大城　滉二,29,内野手,オリックス,2800万円,28000000
327,矢崎　拓也,28,投手,広島,2800万円,28000000
328,西　純矢,21,投手,阪神,2800万円,28000000
329,京山　将弥,24,投手,DeNA,2790万円,27900000
330,河野　竜生,24,投手,日本ハム,2700万円,27000000
331,北山　亘基,23,投手,日本ハム,2700万円,27000000
332,塩見　貴洋,34,投手,楽天,2700万円,27000000
333,泉　圭輔,26,投手,ソフトバンク,2700万円,27000000
334,嶺井　博希,31,捕手,ソフトバンク,2700万円,27000000
335,奥川　恭伸,21,投手,ヤクルト,2700万円,27000000
336,ケムナ　誠,27,投手,広島,2700万円,27000000
337,東　克樹,27,投手,DeNA,2610万円,26100000
338,瀧中　瞭太,28,投手,楽天,2600万円,26000000
339,遠藤　淳志,23,投手,広島,2600万円,26000000
340,西浦　直亨,31,内野手,ヤクルト,2600万円,26000000
341,山﨑　伊織,24,投手,巨人,2500万円,25000000
342,宮川　哲,27,投手,西武,2500万円,25000000
343,若林　晃弘,29,内野手,巨人,2500万円,25000000
344,野村　勇,26,内野手,ソフトバンク,2500万円,25000000
345,大西　広樹,25,投手,ヤクルト,2500万円,25000000
346,小田　裕也,33,外野手,オリックス,2500万円,25000000
347,川端　慎吾,35,内野手,ヤクルト,2500万円,25000000
348,髙橋　遥人,27,投手,阪神,2450万円,24500000
349,上原　健太,29,投手,日本ハム,2400万円,24000000
350,松川　虎生,19,捕手,ロッテ,2400万円,24000000
351,西野　真弘,32,内野手,オリックス,2400万円,24000000
352,塹江　敦哉,26,投手,広島,2400万円,24000000
353,立岡　宗一郎,32,外野手,巨人,2350万円,23500000
354,大江　竜聖,24,投手,巨人,2310万円,23100000
355,島本　浩也,30,投手,阪神,2300万円,23000000
356,加藤　翔平,32,外野手,中日,2300万円,23000000
357,坂本　裕哉,25,投手,DeNA,2300万円,23000000
358,増田　大輝,29,内野手,巨人,2300万円,23000000
359,山﨑　颯一郎,24,投手,オリックス,2300万円,23000000
360,島内　颯太郎,26,投手,広島,2300万円,23000000
361,佐野　皓大,26,外野手,オリックス,2300万円,23000000
362,荒木　貴裕,35,内野手,ヤクルト,2300万円,23000000
363,宮本　丈,27,内野手,ヤクルト,2300万円,23000000
364,福谷　浩司,32,投手,中日,2200万円,22000000
365,大野　奨太,36,捕手,中日,2200万円,22000000
366,藤原　恭大,22,外野手,ロッテ,2200万円,22000000
367,上川畑　大悟,26,内野手,日本ハム,2200万円,22000000
368,赤星　優志,23,投手,巨人,2200万円,22000000
369,陽川　尚将,31,内野手,西武,2200万円,22000000
370,本田　仁海,23,投手,オリックス,2200万円,22000000
371,三木　亮,31,内野手,ロッテ,2100万円,21000000
372,木浪　聖也,28,内野手,阪神,2100万円,21000000
373,髙山　俊,29,外野手,阪神,2100万円,21000000
374,後藤　駿太,30,外野手,中日,2100万円,21000000
375,髙橋　純平,25,投手,ソフトバンク,2100万円,21000000
376,竹安　大知,28,投手,オリックス,2100万円,21000000
377,笠谷　俊介,26,投手,ソフトバンク,2100万円,21000000
378,磯村　嘉孝,30,捕手,広島,2100万円,21000000
379,二保　旭,32,投手,阪神,2025万円,20250000
380,吉田　輝星,22,投手,日本ハム,2000万円,20000000
381,大竹　耕太郎,27,投手,阪神,2000万円,20000000
382,髙濱　祐仁,26,外野手,阪神,2000万円,20000000
383,今川　優馬,26,外野手,日本ハム,2000万円,20000000
384,万波　中正,22,外野手,日本ハム,2000万円,20000000
385,隅田　知一郎,23,投手,西武,2000万円,20000000
386,佐々木　健,26,投手,西武,2000万円,20000000
387,平良　拳太郎,27,投手,DeNA,2000万円,20000000
388,松田　宣浩,39,内野手,巨人,2000万円,20000000
389,森　敬斗,21,内野手,DeNA,2000万円,20000000
390,柘植　世那,25,捕手,西武,2000万円,20000000
391,田中　和基,28,外野手,楽天,2000万円,20000000
392,長野　久義,38,外野手,巨人,2000万円,20000000
393,高木　京介,33,投手,巨人,2000万円,20000000
394,Ｊ．ニックス,27,投手,オリックス,2000万円,20000000
395,山足　達也,29,内野手,オリックス,2000万円,20000000
396,Ｒ．コルニエル,27,投手,広島,2000万円,20000000
397,西田　明央,30,捕手,ヤクルト,2000万円,20000000
398,才木　浩人,24,投手,阪神,1900万円,19000000
399,勝野　昌慶,25,投手,中日,1900万円,19000000
400,西村　天裕,29,投手,日本ハム,1900万円,19000000
401,鈴木　健矢,25,投手,日本ハム,1900万円,19000000
402,加藤　匠馬,30,捕手,中日,1900万円,19000000
403,菅野　剛士,29,外野手,ロッテ,1900万円,19000000
404,木村　文紀,34,外野手,日本ハム,1900万円,19000000
405,山﨑　剛,27,内野手,楽天,1900万円,19000000
406,椎野　新,27,投手,ソフトバンク,1900万円,19000000
407,吉田　凌,25,投手,オリックス,1900万円,19000000
408,岡田　俊哉,31,投手,中日,1900万円,19000000
409,根尾　昂,22,投手,中日,1850万円,18500000
410,和田　康士朗,24,外野手,ロッテ,1800万円,18000000
411,北條　史也,28,内野手,阪神,1800万円,18000000
412,植田　海,26,内野手,阪神,1800万円,18000000
413,増田　陸,22,内野手,巨人,1800万円,18000000
414,藤田　一也,40,内野手,DeNA,1800万円,18000000
415,石川　慎吾,29,外野手,巨人,1800万円,18000000
416,戸根　千明,30,投手,広島,1800万円,18000000
417,種市　篤暉,24,投手,ロッテ,1800万円,18000000
418,熊谷　敬宥,27,内野手,阪神,1750万円,17500000
419,岡田　明丈,29,投手,広島,1750万円,17500000
420,小林　慶祐,30,投手,阪神,1700万円,17000000
421,齋藤　友貴哉,28,投手,日本ハム,1700万円,17000000
422,廣岡　大志,25,内野手,巨人,1700万円,17000000
423,北村　拓己,27,内野手,巨人,1700万円,17000000
424,村西　良太,25,投手,オリックス,1700万円,17000000
425,鈴木　康平,29,投手,オリックス,1700万円,17000000
426,宇田川　優希,24,投手,オリックス,1700万円,17000000
427,川瀬　晃,25,内野手,ソフトバンク,1700万円,17000000
